player_col,rapm_score,hltv_player_id,hltv_slug,player_name,label
p_23045,1.188585513866307,23045,lukiz,lukiz,lukiz
p_18053,1.1838901650979092,18053,broky,broky,broky
p_9278,1.1806807645026918,9278,rez,rez,rez
p_11840,1.1796123093536277,11840,boombl4,boombl4,boombl4
p_21263,1.179274722490168,21263,olimp,olimp,olimp
p_22929,1.1705538102149633,22929,nota,nota,nota
p_20703,1.1681619201449729,20703,xerolte,xerolte,xerolte
p_14494,1.1626498047353284,14494,junior,junior,junior
p_18670,1.1618543631907081,18670,sellter,sellter,sellter
p_11139,1.1613927283245646,11139,alistair,alistair,alistair
p_21983,1.161148005853353,21983,chr1zn,chr1zn,chr1zn
p_16726,1.1544868727536404,16726,phzy,phzy,phzy
p_19045,1.1544358100007956,19045,latto,latto,latto
p_15698,1.1544358100007914,15698,dumau,dumau,dumau
p_20709,1.1506656214005233,20709,r3salt,r3salt,r3salt
p_20185,1.148432162309734,20185,cass1n,cass1n,cass1n
p_19128,1.1435794418022536,19128,slight,slight,slight
p_8528,1.1343803627889855,8528,hobbit,hobbit,hobbit
p_13602,1.1324404272557513,13602,nicoodoz,nicoodoz,nicoodoz
p_12092,1.1317977131992898,12092,max,max,max
p_22613,1.1317977131992667,22613,huasopeek,huasopeek,huasopeek
p_22911,1.122452427204323,22911,doc,doc,doc
p_11995,1.1214772339080001,11995,tmb,tmb,tmb
p_18676,1.1186066439933815,18676,skullz,skullz,skullz
p_19044,1.1185351551831266,19044,f1ku,f1ku,f1ku
p_22680,1.1181095812418123,22680,polbandana,polbandana,polbandana
p_22040,1.1163292812322925,22040,z1nny,z1nny,z1nny
p_429,1.1105720843888316,429,karrigan,karrigan,karrigan
p_9960,1.1105720843888296,9960,frozen,frozen,frozen
p_2161,1.1080477968887656,2161,noktse,noktse,noktse
p_22383,1.1069250096185337,22383,jcobbb,jcobbb,jcobbb
p_20112,1.0955289220168516,20112,alex666,alex666,alex666
p_19738,1.0944564386424094,19738,djoko,djoko,djoko
p_16080,1.0910656031008745,16080,dycha,dycha,dycha
p_16314,1.0853494054297848,16314,pancc,pancc,pancc
p_10330,1.0802017320136887,10330,acor,acor,acor
p_20465,1.075146190301143,20465,arrozdoce,arrozdoce,arrozdoce
p_20171,1.074847795456081,20171,snow,snow,snow
p_20926,1.072850196265418,20926,andu,andu,andu
p_17132,1.066438489969767,17132,leomonster,leomonster,leomonster
p_21062,1.0625202708225758,21062,matys,matys,matys
p_12553,1.0609292932113354,12553,yuurih,yuurih,yuurih
p_15631,1.060929293211334,15631,kscerato,kscerato,kscerato
p_2023,1.06092929321133,2023,fallen,fallen,fallen
p_21665,1.0580866239777584,21665,jba,jba,jba
p_19705,1.052128968435546,19705,chop,chop,chop
p_19899,1.0461877674411526,19899,krimbo,krimbo,krimbo
p_22886,1.0448235832214068,22886,xeedo,xeedo,xeedo
p_23684,1.0448235832214061,23684,relaxxie,relaxxie,relaxxie
p_23686,1.0448235832214057,23686,kashl1d,kashl1d,kashl1d
p_20228,1.0400443919796862,20228,j3kie,j3kie,j3kie
p_21239,1.0395867762387563,21239,martinezsa,martinezsa,martinezsa
p_23458,1.0359447239690813,23458,laxiee,laxiee,laxiee
p_8520,1.033727697487271,8520,naf,naf,naf
p_23414,1.0262798777514177,23414,jackasmo,jackasmo,jackasmo
p_21779,1.0244626326604898,21779,nut-nut,nut-nut,nut-nut
p_8311,1.0242647979671766,8311,nemanha,nemanha,nemanha
p_12731,1.02131736277509,12731,sdy,sdy,sdy
p_17116,1.0180934191759432,17116,ragga,ragga,ragga
p_22203,1.015192748348454,22203,krabeni,krabeni,krabeni
p_20584,1.0151927483484502,20584,dem0n,dem0n,dem0n
